Sequence Length,Population Size,Num Generations,Crossover Rate,Init Sol Type,Differential Weight,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
64,5,6,0.2,noiseless_ideal,0.45,0.9845407009124756,0.9845407009124756,0.9944436550140381,0.9929608106613159,0.9959496855735779,0.995457649230957,0.9949110746383667
64,5,6,0.2,uniform_distro,0.45,0.7420957088470459,0.8569285273551941,0.985371470451355,0.7420957088470459,0.9603498578071594,0.9473588466644287,0.7949104309082031
64,5,6,0.2,normal_distro,0.45,-0.12334899604320526,0.9440219402313232,0.608417809009552,-0.12334899604320526,0.18550002574920654,0.3487054407596588,0.8545551300048828
64,5,6,0.2,noiseless_ideal,0.9,0.9895880222320557,0.9928357601165771,0.9947314262390137,0.9934080839157104,0.996708333492279,0.9895880222320557,0.9927399158477783
64,5,6,0.2,uniform_distro,0.9,0.5752089023590088,0.7275254130363464,0.8071146011352539,0.8952956199645996,0.9033922553062439,0.5752089023590088,0.9592757821083069
64,5,6,0.2,normal_distro,0.9,0.16767175495624542,0.9424188137054443,0.5023313164710999,0.2716226875782013,0.16767175495624542,0.3496529757976532,0.9504156112670898
64,5,6,0.2,noiseless_ideal,1.8,0.9844921231269836,0.9844921231269836,0.9922108054161072,0.9887831807136536,0.9897881150245667,0.9929066300392151,0.986579418182373
64,5,6,0.2,uniform_distro,1.8,0.8184555768966675,0.9676398634910583,0.8590275049209595,0.8596291542053223,0.9418559074401855,0.8184555768966675,0.8863130211830139
64,5,6,0.2,normal_distro,1.8,0.3995864987373352,0.9663429856300354,0.49753591418266296,0.9716982245445251,0.8991588354110718,0.3995864987373352,0.9747093915939331
64,5,6,0.4,noiseless_ideal,0.45,0.9888838529586792,0.9888838529586792,0.9955177307128906,0.9916563034057617,0.9973130226135254,0.9910887479782104,0.9943839907646179
64,5,6,0.4,uniform_distro,0.45,0.547799825668335,0.9253912568092346,0.6869844794273376,0.9306754469871521,0.6994858980178833,0.8854121565818787,0.547799825668335
64,5,6,0.4,normal_distro,0.45,0.18900002539157867,0.8891118764877319,0.47925227880477905,0.19144964218139648,0.18900002539157867,0.40905529260635376,0.9405602216720581
64,5,6,0.4,noiseless_ideal,0.9,0.9930792450904846,0.9964386820793152,0.9930792450904846,0.9956316351890564,0.9946220517158508,0.9952585101127625,0.9951452016830444
64,5,6,0.4,uniform_distro,0.9,0.6992393136024475,0.9512455463409424,0.8105652332305908,0.6992393136024475,0.8418831825256348,0.8696718811988831,0.9108421802520752
64,5,6,0.4,normal_distro,0.9,0.232847660779953,0.9493309855461121,0.6141365170478821,0.8722144961357117,0.4406527280807495,0.232847660779953,0.9237528443336487
64,5,6,0.4,noiseless_ideal,1.8,0.9721239805221558,0.9721239805221558,0.9724259376525879,0.9783023595809937,0.994421124458313,0.987885594367981,0.9867043495178223
64,5,6,0.4,uniform_distro,1.8,0.5402158498764038,0.9148927927017212,0.6978451013565063,0.8695381283760071,0.8634951114654541,0.5402158498764038,0.7095697522163391
64,5,6,0.4,normal_distro,1.8,0.7379507422447205,0.9137999415397644,0.8305823802947998,0.9718503952026367,0.7379507422447205,0.7419899106025696,0.9215477705001831
64,5,6,0.8,noiseless_ideal,0.45,0.988072395324707,0.9936884641647339,0.9933966994285583,0.9941506385803223,0.9953181743621826,0.988072395324707,0.9948208332061768
64,5,6,0.8,uniform_distro,0.45,0.8581367135047913,0.9417308568954468,0.9288240671157837,0.8581367135047913,0.9299980401992798,0.8930439949035645,0.9599536657333374
64,5,6,0.8,normal_distro,0.45,0.2791311740875244,0.9892294406890869,0.41383641958236694,0.5016390085220337,0.2791311740875244,0.3956669867038727,0.9836331605911255
64,5,6,0.8,noiseless_ideal,0.9,0.9816826581954956,0.9881702065467834,0.9954543113708496,0.9933567047119141,0.993030846118927,0.9889158010482788,0.9816826581954956
64,5,6,0.8,uniform_distro,0.9,0.752453625202179,0.9274761080741882,0.8928720951080322,0.8998070955276489,0.752453625202179,0.8803271651268005,0.93830406665802
64,5,6,0.8,normal_distro,0.9,0.3535522520542145,0.9872799515724182,0.8362457752227783,0.6034560203552246,0.8987827301025391,0.3535522520542145,0.9597418308258057
64,5,6,0.8,noiseless_ideal,1.8,0.9105143547058105,0.9844807386398315,0.9915248155593872,0.9743685126304626,0.9877241253852844,0.9105143547058105,0.9567686319351196
64,5,6,0.8,uniform_distro,1.8,0.7915050387382507,0.7915050387382507,0.8346846699714661,0.9754151701927185,0.8495224714279175,0.8655728697776794,0.9468357563018799
64,5,6,0.8,normal_distro,1.8,0.31762364506721497,0.913553774356842,0.46635428071022034,0.9568682312965393,0.8312841653823853,0.31762364506721497,0.9622738361358643
64,5,13,0.2,noiseless_ideal,0.45,0.9926449656486511,0.9926449656486511,0.9947670698165894,0.9957699775695801,0.9968980550765991,0.9945604801177979,0.9932407736778259
64,5,13,0.2,uniform_distro,0.45,0.9011633992195129,0.9657630324363708,0.9339832067489624,0.9874480962753296,0.9011633992195129,0.9379909038543701,0.9748611450195312
64,5,13,0.2,normal_distro,0.45,0.03946158289909363,0.9401252865791321,0.2930269241333008,0.03946158289909363,0.19999180734157562,0.35693344473838806,0.9642562866210938
64,5,13,0.2,noiseless_ideal,0.9,0.9931756258010864,0.9971514940261841,0.9971272945404053,0.9955615401268005,0.9950372576713562,0.9938260316848755,0.9931756258010864
64,5,13,0.2,uniform_distro,0.9,0.832066535949707,0.8793283700942993,0.8861368894577026,0.9815223217010498,0.9232983589172363,0.832066535949707,0.9536607265472412
64,5,13,0.2,normal_distro,0.9,0.29919272661209106,0.9746826887130737,0.9358304142951965,0.6861841678619385,0.29919272661209106,0.6359015703201294,0.9768999218940735
64,5,13,0.2,noiseless_ideal,1.8,0.9850189685821533,0.9850189685821533,0.9861087799072266,0.9922529458999634,0.993323564529419,0.9893912076950073,0.9936286211013794
64,5,13,0.2,uniform_distro,1.8,0.8589746952056885,0.9338352680206299,0.8589746952056885,0.8890140056610107,0.9077796936035156,0.9061710834503174,0.8955929279327393
64,5,13,0.2,normal_distro,1.8,0.8755074143409729,0.9415233135223389,0.992774248123169,0.9565963745117188,0.8755074143409729,0.9503360986709595,0.9678988456726074
64,5,13,0.4,noiseless_ideal,0.45,0.9915011525154114,0.9921115636825562,0.9957873225212097,0.9968231916427612,0.9963164925575256,0.9915011525154114,0.9948773384094238
64,5,13,0.4,uniform_distro,0.45,0.7739701867103577,0.8617706298828125,0.9071297645568848,0.7739701867103577,0.8793861865997314,0.8547782301902771,0.7893610596656799
64,5,13,0.4,normal_distro,0.45,0.16491906344890594,0.9656798839569092,0.48595625162124634,0.16491906344890594,0.2652382552623749,0.37437474727630615,0.9333453178405762
64,5,13,0.4,noiseless_ideal,0.9,0.9850003123283386,0.9866161346435547,0.9850003123283386,0.9941327571868896,0.9924123883247375,0.9917945265769958,0.9961100220680237
64,5,13,0.4,uniform_distro,0.9,0.8533205986022949,0.9906176328659058,0.9183173179626465,0.8703106045722961,0.8533205986022949,0.950028657913208,0.9091393351554871
64,5,13,0.4,normal_distro,0.9,0.6262842416763306,0.9660149812698364,0.734566330909729,0.9313262701034546,0.8749439716339111,0.6262842416763306,0.9753981828689575
64,5,13,0.4,noiseless_ideal,1.8,0.9737410545349121,0.9765145182609558,0.9931184649467468,0.9872289896011353,0.9844405651092529,0.9737410545349121,0.991989016532898
64,5,13,0.4,uniform_distro,1.8,0.8963833451271057,0.9641984701156616,0.9268522262573242,0.9449117183685303,0.8963833451271057,0.9738847613334656,0.9664029479026794
64,5,13,0.4,normal_distro,1.8,0.8066771626472473,0.9652791619300842,0.962751567363739,0.9211632609367371,0.9497523307800293,0.8066771626472473,0.9734797477722168
64,5,13,0.8,noiseless_ideal,0.45,0.9939427375793457,0.9955017566680908,0.9969190359115601,0.9957671165466309,0.9972437024116516,0.9939427375793457,0.9954661130905151
64,5,13,0.8,uniform_distro,0.45,0.8121482729911804,0.948222279548645,0.8121482729911804,0.9811819195747375,0.899753987789154,0.9458435773849487,0.95174640417099
64,5,13,0.8,normal_distro,0.45,0.15402209758758545,0.9003841876983643,0.8221150636672974,0.8831795454025269,0.15402209758758545,0.43075549602508545,0.987567663192749
64,5,13,0.8,noiseless_ideal,0.9,0.9851577281951904,0.9887153506278992,0.9936968088150024,0.9928162097930908,0.9936826229095459,0.9947314858436584,0.9851577281951904
64,5,13,0.8,uniform_distro,0.9,0.7045460343360901,0.8966802358627319,0.8420443534851074,0.9442653656005859,0.7045460343360901,0.8890001177787781,0.9814079999923706
64,5,13,0.8,normal_distro,0.9,0.8753371238708496,0.9898090362548828,0.9715189933776855,0.8753371238708496,0.9768312573432922,0.951884388923645,0.947469174861908
64,5,13,0.8,noiseless_ideal,1.8,0.956618070602417,0.9953848123550415,0.956618070602417,0.9713624119758606,0.9865699410438538,0.9689096212387085,0.9738198518753052
64,5,13,0.8,uniform_distro,1.8,0.6510576605796814,0.9275829792022705,0.9229772090911865,0.6510576605796814,0.9395078420639038,0.8041760325431824,0.8813484907150269
64,5,13,0.8,normal_distro,1.8,0.6497350335121155,0.9767333269119263,0.8044699430465698,0.6497350335121155,0.8877715468406677,0.7845712900161743,0.9755562543869019
64,5,25,0.2,noiseless_ideal,0.45,0.9941648840904236,0.9957167506217957,0.9956592321395874,0.9961709976196289,0.9975517392158508,0.9942857027053833,0.9941648840904236
64,5,25,0.2,uniform_distro,0.45,0.8478965759277344,0.8986090421676636,0.9328015446662903,0.9491360187530518,0.973178505897522,0.8790737986564636,0.8478965759277344
64,5,25,0.2,normal_distro,0.45,0.26617440581321716,0.9737861156463623,0.7405840754508972,0.9292579889297485,0.26617440581321716,0.4025561809539795,0.9667466878890991
64,5,25,0.2,noiseless_ideal,0.9,0.990233302116394,0.996113121509552,0.9949009418487549,0.9965844750404358,0.9907745718955994,0.990233302116394,0.9927459955215454
64,5,25,0.2,uniform_distro,0.9,0.9614416360855103,0.9738727807998657,0.9836374521255493,0.9823099374771118,0.9614416360855103,0.9735411405563354,0.9668541550636292
64,5,25,0.2,normal_distro,0.9,0.4924945533275604,0.984200656414032,0.9789397120475769,0.9817191362380981,0.4924945533275604,0.6525657773017883,0.9867980480194092
64,5,25,0.2,noiseless_ideal,1.8,0.9901673197746277,0.9909000396728516,0.9901673197746277,0.9944744110107422,0.997048020362854,0.9932323694229126,0.9955278635025024
64,5,25,0.2,uniform_distro,1.8,0.8952548503875732,0.8952548503875732,0.9563695788383484,0.9031151533126831,0.9570955038070679,0.978553295135498,0.9233788251876831
64,5,25,0.2,normal_distro,1.8,0.8973554968833923,0.9832415580749512,0.9762852191925049,0.9698137640953064,0.9693686366081238,0.8973554968833923,0.9827092885971069
64,5,25,0.4,noiseless_ideal,0.45,0.9935412406921387,0.9967459440231323,0.9935412406921387,0.9949213266372681,0.997952938079834,0.9953553080558777,0.9953400492668152
64,5,25,0.4,uniform_distro,0.45,0.8526908159255981,0.9115281105041504,0.8526908159255981,0.9070062637329102,0.9468263387680054,0.8551737666130066,0.9316118955612183
64,5,25,0.4,normal_distro,0.45,0.4191991686820984,0.9804443120956421,0.5979154706001282,0.9177398681640625,0.4191991686820984,0.5181061029434204,0.9870338439941406
64,5,25,0.4,noiseless_ideal,0.9,0.9903528094291687,0.9923071265220642,0.9962987303733826,0.9903528094291687,0.993838906288147,0.9946149587631226,0.9917271137237549
64,5,25,0.4,uniform_distro,0.9,0.9270654916763306,0.9270654916763306,0.9692299365997314,0.9396622180938721,0.9397567510604858,0.9486207365989685,0.9797769784927368
64,5,25,0.4,normal_distro,0.9,0.8907051086425781,0.9440476894378662,0.9827233552932739,0.9865444898605347,0.8907051086425781,0.9932735562324524,0.9854629635810852
64,5,25,0.4,noiseless_ideal,1.8,0.9730991125106812,0.9936398863792419,0.993249237537384,0.9920583367347717,0.990203320980072,0.9730991125106812,0.9910405874252319
64,5,25,0.4,uniform_distro,1.8,0.9102320671081543,0.9173611998558044,0.9669172167778015,0.9102320671081543,0.9737978577613831,0.9395111799240112,0.9888480305671692
64,5,25,0.4,normal_distro,1.8,0.7842995524406433,0.977587103843689,0.9458213448524475,0.9388978481292725,0.981407880783081,0.7842995524406433,0.9678226709365845
64,5,25,0.8,noiseless_ideal,0.45,0.9956803917884827,0.9956803917884827,0.9974991083145142,0.9967021346092224,0.9974189400672913,0.9961947798728943,0.9959195852279663
64,5,25,0.8,uniform_distro,0.45,0.8848825097084045,0.9239223003387451,0.8848825097084045,0.9667476415634155,0.9664915800094604,0.9487372636795044,0.9775741100311279
