Population Size,Num Generations,Crossover Rate,Differential Weight,Sequence Length,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
10,25,0.9,0.4,4,normal_distro,0.9921410083770752,0.9991698265075684,0.9921410083770752,0.999045193195343,0.9964053630828857,0.9939538836479187,0.998604416847229
10,25,0.9,0.4,128,normal_distro,0.9842331409454346,0.9861540794372559,0.9895808100700378,0.9867068529129028,0.9889488220214844,0.9842331409454346,0.9863532781600952
20,25,0.45,0.8,32,uniform_distro,0.982616662979126,0.9864006042480469,0.9958438277244568,0.9953536987304688,0.9917673468589783,0.9903621077537537,0.982616662979126
10,25,0.9,0.4,64,normal_distro,0.9808061122894287,0.9909230470657349,0.9926469326019287,0.9931500554084778,0.9808061122894287,0.9867696762084961,0.9897705316543579
20,25,0.225,0.4,64,normal_distro,0.9786562919616699,0.9934490323066711,0.9846624135971069,0.9870848059654236,0.9786562919616699,0.9832194447517395,0.9866491556167603
20,25,0.45,0.4,32,normal_distro,0.9781281352043152,0.9781281352043152,0.9900784492492676,0.9907582402229309,0.9925658702850342,0.9940875768661499,0.9880045652389526
20,25,0.9,0.4,64,normal_distro,0.9769390821456909,0.9769390821456909,0.98869389295578,0.9931927919387817,0.9886830449104309,0.9926509857177734,0.9905377626419067
20,25,0.45,0.8,4,uniform_distro,0.9764761924743652,0.9964790344238281,0.9991915225982666,0.9905596375465393,0.9855201244354248,0.9868431091308594,0.9764761924743652
20,25,0.45,0.4,128,normal_distro,0.9759108424186707,0.9836093783378601,0.9856367707252502,0.9759108424186707,0.9769225716590881,0.979485034942627,0.9841646552085876
10,25,0.9,0.4,32,normal_distro,0.9742996692657471,0.996096134185791,0.9966907501220703,0.9962362051010132,0.9742996692657471,0.9845341444015503,0.9894089102745056
20,25,0.9,0.4,8,normal_distro,0.973749041557312,0.9793484210968018,0.9776768684387207,0.9887586832046509,0.9849854707717896,0.973749041557312,0.9890110492706299
20,25,0.9,0.4,128,normal_distro,0.9736754298210144,0.9842493534088135,0.9875952005386353,0.9736754298210144,0.9836204648017883,0.9819610118865967,0.9867337942123413
20,25,0.9,0.4,32,normal_distro,0.9731199145317078,0.989928662776947,0.9904173612594604,0.9731199145317078,0.9965501427650452,0.9958685636520386,0.9931870102882385
10,25,0.225,0.4,32,normal_distro,0.9728477001190186,0.9780002236366272,0.9962091445922852,0.9728477001190186,0.9963299036026001,0.9777946472167969,0.9738478064537048
20,25,0.9,0.8,4,uniform_distro,0.9720104932785034,0.9896038770675659,0.9907183647155762,0.9875001311302185,0.9814128875732422,0.9720104932785034,0.9937754273414612
10,13,0.9,0.4,32,normal_distro,0.9717744588851929,0.987646758556366,0.9961546063423157,0.995935320854187,0.9717744588851929,0.9896550178527832,0.9923577904701233
20,25,0.45,0.8,128,normal_distro,0.9716795086860657,0.9819798469543457,0.9783824682235718,0.9845591187477112,0.9716795086860657,0.9850322604179382,0.9853077530860901
