Sequence Length,Population Size,Num Generations,Crossover Rate,Differential Weight,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
1,20,25,0.6,0.5,0.00013646483421325684,0.9997707605361938,0.009505540132522583,0.009505562484264374,0.00013646483421325684,0.005962250754237175,0.9153784513473511
1,20,25,0.6,1.0,0.00013646483421325684,0.9997835159301758,0.00950556993484497,0.009505555033683777,0.00013646483421325684,0.005962233059108257,0.9153784513473511
1,20,25,0.6,2.0,0.00013646483421325684,0.9998123645782471,0.009505674242973328,0.009505614638328552,0.00013646483421325684,0.005962190218269825,0.9153781533241272
1,20,25,0.8,0.5,0.00013649463653564453,0.9997308254241943,0.009505711495876312,0.009505607187747955,0.00013649463653564453,0.0059622181579470634,0.9153783321380615
1,20,25,0.8,1.0,0.00013646483421325684,0.9997648000717163,0.009505726397037506,0.009505592286586761,0.00013646483421325684,0.005962274968624115,0.9153779149055481
1,20,25,0.8,2.0,0.00013646483421325684,0.9998046159744263,0.009505555033683777,0.009505584836006165,0.00013646483421325684,0.005962074734270573,0.9153785705566406
1,20,25,1.0,0.5,0.00013643503189086914,0.9997273683547974,0.009505480527877808,0.00950554758310318,0.00013643503189086914,0.005962217226624489,0.9153783917427063
1,20,25,1.0,1.0,0.00013649463653564453,0.999824047088623,0.009505592286586761,0.009505636990070343,0.00013649463653564453,0.005962260067462921,0.9153783321380615
1,20,25,1.0,2.0,0.00013646483421325684,0.9998620748519897,0.009505605325102806,0.00950556993484497,0.00013646483421325684,0.005962252616882324,0.9153785705566406
2,20,25,0.6,0.5,0.0005436986684799194,0.9990840554237366,0.03774704411625862,0.03768906742334366,0.0005436986684799194,0.025347378104925156,0.9619802236557007
2,20,25,0.6,1.0,0.0005354881286621094,0.9990242719650269,0.03770029544830322,0.037702735513448715,0.0005354881286621094,0.023432627320289612,0.9619672298431396
2,20,25,0.6,2.0,0.0005354732275009155,0.9990794658660889,0.03780055046081543,0.03776080906391144,0.0005354732275009155,0.02366200089454651,0.9619858860969543
2,20,25,0.8,0.5,0.0006286501884460449,0.9989821314811707,0.037766214460134506,0.037713970988988876,0.0006286501884460449,0.024801690131425858,0.9619791507720947
2,20,25,0.8,1.0,0.0005354732275009155,0.9990867376327515,0.037719886749982834,0.037739548832178116,0.0005354732275009155,0.023687046021223068,0.9619694948196411
2,20,25,0.8,2.0,0.0005354732275009155,0.9990893006324768,0.037633322179317474,0.03776521235704422,0.0005354732275009155,0.023642748594284058,0.961986243724823
2,20,25,1.0,0.5,0.0005354583263397217,0.9989750385284424,0.03782094269990921,0.03770925849676132,0.0005354583263397217,0.024900216609239578,0.961973249912262
2,20,25,1.0,1.0,0.0005354881286621094,0.9991052150726318,0.037692490965127945,0.037670448422431946,0.0005354881286621094,0.023361777886748314,0.9619864821434021
2,20,25,1.0,2.0,0.0005354881286621094,0.9990863800048828,0.037667691707611084,0.037771016359329224,0.0005354881286621094,0.023300837725400925,0.9619858264923096
4,20,25,0.6,0.5,0.010329484939575195,0.9991903305053711,0.14630883932113647,0.14580592513084412,0.010329484939575195,0.10165128111839294,1.0000531673431396
4,20,25,0.6,1.0,0.0019830316305160522,0.9995653033256531,0.14556242525577545,0.1459684669971466,0.0019830316305160522,0.09209270775318146,0.9999532699584961
4,20,25,0.6,2.0,0.0015775114297866821,0.9999296069145203,0.14615976810455322,0.1459486484527588,0.0015775114297866821,0.08205090463161469,0.999862551689148
